DATE,INV,GDP,CONS,UN1,UN2
01/01/86,1191.852,7784.1,4919.6,7,7.63637904352546
01/04/86,1171.042,7819.8,4974.6,7.2,7.20634847685303
01/07/86,1139.541,7898.6,5064.7,7,6.93049498965868
01/10/86,1142.952,7939.5,5097.1,6.8,6.61426466868040
01/01/87,1173.798,7995,5097.9,6.6,7.24223193367278
01/04/87,1174.41,8084.7,5168.6,6.3,6.31493290351086
01/07/87,1174.583,8158,5228.5,6,5.97270842822262
01/10/87,1254.617,8292.7,5239.5,5.8,5.65888252252749
01/01/88,1194.399,8339.3,5332.7,5.7,6.25544353173279
01/04/88,1222.857,8449.5,5371.8,5.5,5.49758518062732
01/07/88,1229.659,8498.3,5417.7,5.5,5.45330610387242
01/10/88,1248.44,8610.9,5479.7,5.3,5.15030981126873
01/01/89,1290.679,8697.7,5505,5.2,5.69938517612482
01/04/89,1278.291,8766.1,5530.9,5.2,5.25686257480177
01/07/89,1266.941,8831.5,5585.9,5.2,5.24739494503564
01/10/89,1257.676,8850.2,5610.5,5.4,5.15858868878428
01/01/90,1269.982,8947.1,5658.7,5.3,5.83588595571024
01/04/90,1270.441,8981.7,5676.4,5.3,5.37479671785019
01/07/90,1245.648,8983.9,5699.3,5.7,5.62376225311264
01/10/90,1176.268,8907.4,5656.2,6.1,5.85606868241670
01/01/91,1137.137,8865.6,5636.7,6.6,7.27409151497558
01/04/91,1137.211,8934.4,5684,6.8,6.85962036607164
01/07/91,1159.826,8977.3,5711.6,6.9,6.76379360310823
01/10/91,1200.972,9016.4,5710.1,7.1,6.81198184911956
01/01/92,1178.889,9123,5817.3,7.4,8.15590447500742
01/04/92,1245.738,9223.5,5857.2,7.6,7.59232952357822
01/07/92,1255.778,9313.2,5920.6,7.6,7.56259324301599
01/10/92,1294.229,9406.5,5991.1,7.4,7.11892020265485
01/01/93,1324.609,9424.1,6013.8,7.1,7.85966244118660
01/04/93,1332.119,9480.1,6067.8,7.1,7.10572332232831
01/07/93,1323.144,9526.3,6134.8,6.8,6.78334480065896
01/10/93,1392.54,9653.5,6189.1,6.6,6.35333061915518
01/01/94,1446.244,9748.2,6260.1,6.6,7.19369870332084
01/04/94,1517.13,9881.4,6308.6,6.2,6.18427689152103
01/07/94,1492.158,9939.7,6357.5,6,5.98287596385080
01/10/94,1553.518,10052.5,6425.9,5.6,5.31437027950808
01/01/95,1570.273,10086.9,6442.9,5.5,5.97105000020159
01/04/95,1537.736,10122.1,6500.7,5.7,5.67295674058770
01/07/95,1528.614,10208.8,6560.3,5.7,5.65725556484170
01/10/95,1566.652,10281.2,6606.4,5.6,5.27427830355883
01/01/96,1590.623,10348.7,6667.7,5.5,6.08130674891048
01/04/96,1667.682,10529.4,6740.1,5.5,5.45559374541215
01/07/96,1744.489,10626.8,6780.7,5.3,5.28351531293860
01/10/96,1743.944,10739.1,6834,5.3,5.00932197831359
01/01/97,1781.576,10820.9,6906.1,5.2,5.74359561906643
01/04/97,1879.966,10984.2,6937.4,5,4.96280872525062
01/07/97,1913.623,11124,7056.1,4.9,4.87666546834654
01/10/97,1940.73,11210.3,7139.9,4.7,4.40203365180986
01/01/98,2027.137,11321.2,7213.6,4.6,5.11244055553862
01/04/98,2013.441,11431,7341,4.4,4.39590243596605
01/07/98,2067.218,11580.6,7437.5,4.5,4.54827912146681
01/10/98,2125.53,11770.7,7546.8,4.4,4.14381121609057
01/01/99,2186.065,11864.7,7618.7,4.3,4.69356464768445
01/04/99,2188.002,11962.5,7731.5,4.3,4.21303465663356
01/07/99,2242.786,12113.1,7819.3,4.2,4.26138423162624
