50,23.0,26.0,25.0,29.0,26.0,18.0,23.0,41.0,23.0,23.0
51,22.0,28.0,22.0,30.0,26.0,19.0,23.0,39.0,23.0,23.0
52,22.0,30.0,22.0,30.0,26.0,19.0,22.0,38.0,22.0,23.0
53,24.0,30.0,22.0,28.0,26.0,18.0,22.0,36.0,21.0,21.0
54,25.0,28.0,22.0,30.0,24.0,17.0,22.0,36.0,21.0,23.0
55,27.0,29.0,22.0,30.0,20.0,17.0,22.0,37.0,21.0,23.0
56,28.0,29.0,22.0,28.0,16.0,18.0,21.0,37.0,21.0,25.0
57,26.0,29.0,22.0,26.0,17.0,20.0,20.0,37.0,20.0,25.0
58,26.0,29.0,24.0,24.0,16.0,20.0,20.0,37.0,18.0,26.0
59,26.0,29.0,25.0,24.0,16.0,19.0,20.0,37.0,18.0,24.0
60,26.0,29.0,29.0,22.0,16.0,20.0,20.0,35.0,19.0,23.0
61,25.0,29.0,31.0,20.0,17.0,20.0,19.0,34.0,18.0,22.0
62,25.0,28.0,31.0,20.0,17.0,18.0,19.0,34.0,21.0,19.0
63,25.0,28.0,32.0,19.0,17.0,17.0,19.0,33.0,20.0,17.0
64,25.0,27.0,34.0,18.0,18.0,16.0,19.0,33.0,20.0,16.0
65,23.0,25.0,34.0,19.0,17.0,16.0,19.0,31.0,20.0,16.0
66,23.0,26.0,34.0,19.0,16.0,16.0,21.0,31.0,18.0,16.0
67,22.0,26.0,34.0,22.0,16.0,15.0,22.0,31.0,18.0,16.0
68,22.0,25.0,33.0,23.0,16.0,15.0,23.0,30.0,18.0,18.0
69,20.0,25.0,29.0,24.0,16.0,15.0,24.0,29.0,18.0,18.0
70,19.0,24.0,29.0,26.0,16.0,15.0,26.0,30.0,18.0,18.0
71,18.0,24.0,28.0,27.0,17.0,14.0,28.0,29.0,20.0,18.0
72,19.0,24.0,26.0,26.0,18.0,13.0,31.0,31.0,22.0,18.0
73,19.0,23.0,26.0,27.0,18.0,13.0,32.0,32.0,22.0,18.0
74,20.0,23.0,26.0,28.0,18.0,13.0,32.0,31.0,20.0,18.0
75,21.0,21.0,25.0,29.0,17.0,14.0,32.0,30.0,18.0,18.0
76,20.0,21.0,25.0,31.0,17.0,14.0,32.0,28.0,16.0,18.0
77,20.0,22.0,24.0,29.0,17.0,15.0,31.0,24.0,16.0,18.0
78,22.0,24.0,24.0,28.0,17.0,17.0,31.0,25.0,16.0,21.0
79,21.0,23.0,24.0,27.0,17.0,17.0,31.0,27.0,15.0,23.0
80,22.0,24.0,25.0,27.0,17.0,16.0,31.0,26.0,15.0,21.0
81,22.0,25.0,25.0,27.0,17.0,16.0,31.0,25.0,14.0,21.0
82,21.0,25.0,26.0,26.0,20.0,18.0,30.0,25.0,13.0,21.0
83,24.0,27.0,26.0,26.0,21.0,20.0,30.0,26.0,14.0,20.0
84,26.0,30.0,26.0,26.0,21.0,20.0,30.0,25.0,15.0,19.0
85,28.0,29.0,23.0,25.0,25.0,21.0,27.0,25.0,13.0,19.0
86,28.0,29.0,22.0,25.0,25.0,19.0,27.0,25.0,12.0,19.0
87,28.0,29.0,25.0,23.0,25.0,20.0,27.0,25.0,11.0,19.0
88,28.0,26.0,25.0,24.0,24.0,22.0,27.0,24.0,11.0,22.0
89,27.0,25.0,25.0,23.0,24.0,22.0,26.0,24.0,10.0,23.0
90,27.0,25.0,23.0,20.0,24.0,22.0,26.0,24.0,10.0,21.0
91,27.0,25.0,21.0,19.0,20.0,23.0,30.0,24.0,10.0,21.0
92,26.0,23.0,21.0,19.0,19.0,25.0,31.0,24.0,11.0,20.0
93,26.0,23.0,21.0,19.0,18.0,26.0,31.0,23.0,11.0,20.0
94,26.0,23.0,22.0,19.0,19.0,26.0,30.0,24.0,14.0,20.0
95,26.0,22.0,22.0,19.0,19.0,26.0,28.0,22.0,16.0,19.0
96,26.0,23.0,23.0,19.0,18.0,27.0,27.0,23.0,19.0,19.0
97,25.0,24.0,22.0,19.0,17.0,27.0,25.0,23.0,20.0,20.0
98,25.0,24.0,20.0,21.0,17.0,27.0,21.0,23.0,19.0,20.0
99,25.0,24.0,20.0,23.0,18.0,26.0,21.0,22.0,19.0,20.0
100,24.0,25.0,20.0,25.0,22.0,25.0,20.0,20.0,19.0,20.0
101,25.0,24.0,20.0,25.0,22.0,25.0,20.0,18.0,18.0,18.0
102,22.0,26.0,20.0,26.0,24.0,25.0,18.0,21.0,16.0,15.0
103,22.0,27.0,19.0,27.0,24.0,24.0,18.0,21.0,16.0,14.0
104,22.0,25.0,19.0,27.0,24.0,20.0,20.0,20.0,16.0,16.0
105,19.0,24.0,19.0,27.0,23.0,20.0,19.0,20.0,16.0,16.0
106,19.0,25.0,19.0,26.0,22.0,18.0,19.0,20.0,16.0,18.0
107,19.0,25.0,19.0,26.0,22.0,18.0,22.0,20.0,16.0,21.0
